,Home Odds,Vis Odds,Home Win,Prev Predictions,Current Predictions,Ensemble,Prev Predictions Home Outcome,Prev Predictions Vis Outcome,Current Predictions Home Outcome,Current Predictions Vis Outcome,Ensemble Home Outcome,Ensemble Vis Outcome
86929,1.48,2.74,True,0.5382296,0.5579734,0.5481015,0.0,0.0,0.0,0.0,0.0,0.0
86930,2.03,1.83,True,0.50419873,0.5211699,0.51268435,1.0299999999999998,0.0,0.0,0.0,0.0,0.0
86931,1.89,1.95,True,0.48458394,0.503277,0.49393046,0.8899999999999999,0.0,0.0,0.0,0.0,0.0
86932,1.7,2.22,False,0.5525931,0.5379367,0.5452649,-1.0,0.0,0.0,0.0,0.0,0.0
86933,1.71,2.2,False,0.5340331,0.5315363,0.5327847,-1.0,0.0,0.0,0.0,0.0,0.0
86934,1.44,2.98,True,0.5340331,0.5315363,0.5327847,0.0,0.0,0.0,0.0,0.0,0.0
86935,2.06,1.81,False,0.48458394,0.503277,0.49393046,-1.0,0.0,0.0,0.0,0.0,0.0
86936,1.73,2.16,False,0.50419873,0.5211699,0.51268435,-1.0,0.0,0.0,0.0,0.0,0.0
86937,1.68,2.26,True,0.5601828,0.5823592,0.571271,0.6799999999999999,0.0,0.0,0.0,0.0,0.0
86938,2.13,1.75,True,0.5601828,0.5823592,0.571271,1.13,0.0,0.0,0.0,0.0,0.0
86939,1.45,2.86,True,0.539813,0.5070269,0.52342,0.0,0.0,0.0,0.0,0.0,0.0
86940,2.1,1.77,False,0.539813,0.5070269,0.52342,-1.0,0.0,0.0,0.0,0.0,0.0
86941,1.58,2.49,False,0.46450394,0.5003736,0.48243877,-1.0,0.0,0.0,0.0,0.0,0.0
86942,1.82,2.03,True,0.46450394,0.5003736,0.48243877,0.8200000000000001,0.0,0.0,0.0,0.0,0.0
86943,1.89,1.96,True,0.52085,0.5634146,0.54213226,0.8899999999999999,0.0,0.0,0.0,0.0,0.0
86944,1.56,2.55,False,0.46450394,0.5003736,0.48243877,-1.0,0.0,0.0,0.0,0.0,0.0
86945,1.86,1.99,False,0.52085,0.5634146,0.54213226,-1.0,0.0,0.0,0.0,0.0,0.0
86946,2.47,1.59,False,0.52085,0.5634146,0.54213226,-1.0,0.0,0.0,0.0,0.0,0.0
86947,2.13,1.76,True,0.539813,0.5070269,0.52342,1.13,0.0,0.0,0.0,0.0,0.0
86948,1.9,1.94,True,0.53079706,0.547276,0.5390365,0.8999999999999999,0.0,0.0,0.0,0.0,0.0
86949,2.38,1.62,False,0.53079706,0.547276,0.5390365,-1.0,0.0,0.0,0.0,0.0,0.0
86950,1.45,2.85,False,0.5447117,0.51276606,0.52873886,0.0,0.0,0.0,0.0,0.0,0.0
86951,1.75,2.03,False,0.5447117,0.51276606,0.52873886,-1.0,0.0,0.0,0.0,0.0,0.0
86952,1.42,2.99,True,0.5447117,0.51276606,0.52873886,0.0,0.0,0.0,0.0,0.0,0.0
86953,2.35,1.64,False,0.53079706,0.547276,0.5390365,-1.0,0.0,0.0,0.0,0.0,0.0
86954,2.13,1.76,False,0.53079706,0.547276,0.5390365,-1.0,0.0,0.0,0.0,0.0,0.0
86955,1.7,2.17,True,0.55414575,0.58766973,0.5709077,0.7,0.0,0.0,0.0,0.0,0.0
86956,1.75,2.1,False,0.5583073,0.5214446,0.539876,-1.0,0.0,0.0,0.0,0.0,0.0
86957,1.71,2.16,False,0.5011094,0.5222732,0.51169133,-1.0,0.0,0.0,0.0,0.0,0.0
86958,1.68,2.21,True,0.54611236,0.5880458,0.56707907,0.6799999999999999,0.0,0.0,0.0,0.0,0.0
86959,1.78,2.05,False,0.5618717,0.5998325,0.5808521,-1.0,0.0,1.0499999999999998,-1.0,0.0,0.0
86960,1.83,1.98,False,0.514545,0.46497262,0.48975882,-1.0,0.0,0.0,0.0,0.0,0.0
86961,1.7,2.2,True,0.5891426,0.60410374,0.5966232,0.7,0.0,-1.0,0.7,-1.0,0.7
86962,1.75,2.07,True,0.58261555,0.6054728,0.5940442,0.75,0.0,-1.0,0.75,-1.0,0.75
86963,1.88,1.91,False,0.46328214,0.5087966,0.48603934,-1.0,0.0,0.0,0.0,0.0,0.0
86964,1.79,2.03,True,0.44803143,0.4909045,0.46946797,0.0,-1.0,0.0,0.0,0.0,0.0
86965,1.84,1.98,True,0.5364686,0.53480744,0.53563803,0.8400000000000001,0.0,0.0,0.0,0.0,0.0
86966,1.89,1.95,True,0.46453726,0.48116407,0.47285068,0.8899999999999999,0.0,0.0,0.0,0.0,0.0
86967,1.85,1.95,True,0.48546174,0.5368573,0.51115954,0.8500000000000001,0.0,0.0,0.0,0.0,0.0
86968,1.83,1.98,False,0.5283717,0.58273846,0.5555551,-1.0,0.0,0.0,0.0,0.0,0.0
86969,1.77,2.06,False,0.53521705,0.5409203,0.53806865,-1.0,0.0,0.0,0.0,0.0,0.0
86970,1.71,2.2,True,0.5851382,0.5675528,0.5763455,0.71,0.0,0.0,0.0,0.0,0.0
86971,2.0,1.81,False,0.5233278,0.4986753,0.5110016,-1.0,0.0,0.0,0.0,0.0,0.0
86972,1.65,2.25,True,0.57537246,0.582973,0.57917273,0.6499999999999999,0.0,0.0,0.0,0.0,0.0
86973,1.95,1.75,True,0.53177154,0.53021413,0.53099287,0.95,0.0,0.0,0.0,0.0,0.0
86974,1.88,1.95,True,0.48602253,0.47000915,0.47801584,0.8799999999999999,0.0,0.0,0.0,0.0,0.0
86975,1.94,1.86,False,0.5054927,0.54831856,0.52690566,-1.0,0.0,0.0,0.0,0.0,0.0
86976,1.73,2.15,True,0.48082113,0.5443397,0.5125804,0.73,0.0,0.0,0.0,0.0,0.0
86977,1.81,2.0,True,0.5061218,0.48867962,0.4974007,0.81,0.0,0.0,0.0,0.0,0.0
86978,1.77,2.05,False,0.47531804,0.4971741,0.48624608,-1.0,0.0,0.0,0.0,0.0,0.0
86979,1.81,2.0,False,0.49929264,0.52800363,0.51364815,-1.0,0.0,0.0,0.0,0.0,0.0
86980,1.8,2.02,True,0.5617832,0.5448524,0.5533178,0.8,0.0,0.0,0.0,0.0,0.0
86981,1.79,2.02,False,0.5447117,0.51276606,0.52873886,-1.0,0.0,0.0,0.0,0.0,0.0
86982,1.81,2.0,False,0.54525054,0.5267788,0.5360147,-1.0,0.0,0.0,0.0,0.0,0.0
86983,1.67,2.21,False,0.44297117,0.49882826,0.4708997,0.0,1.21,0.0,0.0,0.0,0.0
86984,1.65,2.26,False,0.5474127,0.5871533,0.56728303,-1.0,0.0,0.0,0.0,0.0,0.0
86985,1.82,2.02,False,0.59760076,0.54050267,0.56905174,-1.0,0.0,0.0,0.0,0.0,0.0
86986,1.64,2.27,True,0.55131364,0.5920908,0.57170224,0.6399999999999999,0.0,-1.0,0.6399999999999999,0.0,0.0
86987,1.74,2.1,True,0.56728435,0.60971826,0.58850133,0.74,0.0,-1.0,0.74,0.0,0.0
86988,1.68,2.25,True,0.4899276,0.5393646,0.51464605,0.6799999999999999,0.0,0.0,0.0,0.0,0.0
86989,1.82,2.02,False,0.47414312,0.48262963,0.47838637,-1.0,0.0,0.0,0.0,0.0,0.0
86990,1.78,2.05,True,0.5531701,0.5562826,0.55472636,0.78,0.0,0.0,0.0,0.0,0.0
86991,1.74,2.11,False,0.50084674,0.49894443,0.49989557,-1.0,0.0,0.0,0.0,0.0,0.0
86992,1.75,2.08,False,0.4890113,0.5406582,0.51483476,-1.0,0.0,0.0,0.0,0.0,0.0
86993,1.78,2.05,False,0.4970738,0.5502569,0.52366537,-1.0,0.0,0.0,0.0,0.0,0.0
86994,1.66,2.25,False,0.6089732,0.59908867,0.60403097,-1.0,0.0,1.25,-1.0,1.25,-1.0
86995,1.73,2.16,True,0.5383865,0.5152293,0.5268079,0.73,0.0,0.0,0.0,0.0,0.0
86996,1.88,1.95,False,0.59491944,0.5614313,0.57817537,-1.0,0.0,0.0,0.0,0.0,0.0
86997,1.77,2.07,True,0.50908065,0.4963092,0.5026949,0.77,0.0,0.0,0.0,0.0,0.0
86998,1.77,2.07,False,0.47440797,0.5099897,0.49219882,-1.0,0.0,0.0,0.0,0.0,0.0
86999,1.75,2.12,False,0.49625865,0.5566877,0.52647316,-1.0,0.0,0.0,0.0,0.0,0.0
87000,1.74,2.11,True,0.59231114,0.52963066,0.5609709,0.74,0.0,0.0,0.0,0.0,0.0
87001,1.69,2.18,False,0.5057551,0.50048023,0.5031177,-1.0,0.0,0.0,0.0,0.0,0.0
87002,2.11,1.73,True,0.49362022,0.52545506,0.50953764,1.1099999999999999,0.0,0.0,0.0,0.0,0.0
87003,1.78,2.09,True,0.48836324,0.5316216,0.5099924,0.78,0.0,0.0,0.0,0.0,0.0
